Address,Latitude,Longitude
"1 Ada Street, ERSKINEVILLE  NSW  2043",-33.899114700000005,151.1885657
"1 Albert Street, FOREST LODGE  NSW  2037",-33.880258399999995,151.1780891
"1 Albion Avenue, PADDINGTON  NSW  2021",-33.884428899999996,151.2186554
"1 Alfred Road, FOREST LODGE  NSW  2037",-33.8816689,151.1785722
"1 Alfred Street, SYDNEY  NSW  2000",-33.8618055,151.2085331
"1 Angel Place, SYDNEY  NSW  2000",-33.867062100000005,151.2079751
"1 Anzac Parade, MOORE PARK  NSW  2021",-33.8874778,151.21857340000003
"1 Archibald Avenue, WATERLOO  NSW  2017",-33.901379999999996,151.21065259999997
"1 Arundel Street, GLEBE  NSW  2037",-33.8844631,151.19113090000005
"1 Ashmore Street, ERSKINEVILLE  NSW  2043",-33.9024409,151.1855781
"1 Asquith Avenue, ROSEBERY  NSW  2018",-33.9200995,151.2076715
"1 Bakers Lane, FOREST LODGE  NSW  2037",-33.88428820000001,151.18278080000005
"1 Barrack Street, SYDNEY  NSW  2000",-33.8679481,151.205353
"1 Bellevue Lane, SURRY HILLS  NSW  2010",-33.8840279,151.21106630000003
"1 Bellevue Street, SURRY HILLS  NSW  2010",-33.8834157,151.21158269999995
"1 Bennett Street, NEWTOWN  NSW  2042",-33.8941394,151.1872423
"1 Binning Street, ERSKINEVILLE  NSW  2043",-33.9006641,151.187221
"1 Birmingham Street, ALEXANDRIA  NSW  2015",-33.9195689,151.1974269
"1 Blackburn Street, SURRY HILLS  NSW  2010",-33.880505,151.209476
"1 Blackfriars Street, CHIPPENDALE  NSW  2008",-33.8857584,151.1978373
"1 Blackwattle Place, SYDNEY  NSW  2000",-33.7184314,151.0470018
"1 Bligh Street, SYDNEY  NSW  2000",-33.8648623,151.21053380000004
"1 Boomerang Place, WOOLLOOMOOLOO  NSW  2011",-33.8737791,151.2146428
"1 Brumby Street, SURRY HILLS  NSW  2010",-33.8877873,151.2086323
"1 Bulwara Road, PYRMONT  NSW  2009",-33.8705102,151.19314880000005
"1 Butt Street, SURRY HILLS  NSW  2010",-33.8872733,151.20909430000003
"1 Caldwell Street, DARLINGHURST  NSW  2010",-33.8771435,151.2223908
"1 Cathedral Street, SYDNEY  NSW  2000",-33.8722481,151.2131787
"1 Central Avenue, EVELEIGH  NSW  2015",-33.896278,151.19578
"1 Challis Avenue, POTTS POINT  NSW  2011",-33.8701609,151.2239455
"1 Charles Street, REDFERN  NSW  2016",-33.8938311,151.2158791
"1 Chifley Square, SYDNEY  NSW  2000",-33.8659709,151.21067040000003
"1 Chippendale Way, CHIPPENDALE  NSW  2008",-33.8846534,151.20040369999995
"1 City Road, CAMPERDOWN  NSW  2050",-33.884725200000005,151.1947834
"1 Colbourne Avenue, GLEBE  NSW  2037",-33.8793025,151.18971530000005
"1 Collins Street, BEACONSFIELD  NSW  2015",-33.9123742,151.20105800000005
"1 Cooper Street, REDFERN  NSW  2016",-33.8929287,151.211262
"1 Corben Street, SURRY HILLS  NSW  2010",-33.8838735,151.21207959999995
"1 Crown Lane, DARLINGHURST  NSW  2010",-33.8746225,151.2156969
"1 Cullen Close, FOREST LODGE  NSW  2037",-33.8785486,151.1777023
"1 Dalgal Way, FOREST LODGE  NSW  2037",-33.8761055,151.1783737
"1 Danks Street, WATERLOO  NSW  2017",-33.8979842,151.21002990000005
"1 Darghan Street, GLEBE  NSW  2037",-33.878791899999996,151.1912841
"1 Darley Street, DARLINGHURST  NSW  2010",-33.8773349,151.2193326
